property_id,check_in_date,room_category,successful_bookings,capacity
16558,2024-05-01,RT1,26,43
16558,2024-05-01,RT2,19,31
16558,2024-05-01,RT3,10,21
16558,2024-05-01,RT4,4,7
16559,2024-05-01,RT1,19,37
16559,2024-05-01,RT2,16,28
16559,2024-05-01,RT3,6,11
16559,2024-05-01,RT4,3,6
16560,2024-05-01,RT1,19,30
16560,2024-05-01,RT2,17,33
16560,2024-05-01,RT3,10,17
16560,2024-05-01,RT4,3,8
16561,2024-05-01,RT1,18,29
16561,2024-05-01,RT2,12,19
16561,2024-05-01,RT3,7,12
16561,2024-05-01,RT4,2,6
16562,2024-05-01,RT1,21,39
16562,2024-05-01,RT2,15,32
16562,2024-05-01,RT3,10,18
16562,2024-05-01,RT4,2,4
16563,2024-05-01,RT1,13,26
16563,2024-05-01,RT2,21,33
16563,2024-05-01,RT3,10,17
16563,2024-05-01,RT4,4,7
17558,2024-05-01,RT1,18,31
17558,2024-05-01,RT2,17,27
17558,2024-05-01,RT3,9,15
17558,2024-05-01,RT4,5,8
17559,2024-05-01,RT1,17,36
17559,2024-05-01,RT2,10,19
17559,2024-05-01,RT3,8,16
17559,2024-05-01,RT4,2,4
16558,2024-05-02,RT1,18,29
16558,2024-05-02,RT2,14,27
16558,2024-05-02,RT3,10,22
16558,2024-05-02,RT4,2,5
16559,2024-05-02,RT1,17,35
16559,2024-05-02,RT2,17,28
16559,2024-05-02,RT3,11,22
16559,2024-05-02,RT4,3,7
16560,2024-05-02,RT1,17,27
16560,2024-05-02,RT2,14,24
16560,2024-05-02,RT3,8,15
16560,2024-05-02,RT4,5,8
16561,2024-05-02,RT1,17,37
16561,2024-05-02,RT2,10,18
16561,2024-05-02,RT3,6,11
16561,2024-05-02,RT4,4,8
16562,2024-05-02,RT1,18,29
16562,2024-05-02,RT2,17,28
16562,2024-05-02,RT3,12,21
16562,2024-05-02,RT4,3,8
16563,2024-05-02,RT1,19,39
16563,2024-05-02,RT2,9,20
16563,2024-05-02,RT3,10,17
16563,2024-05-02,RT4,2,4
17558,2024-05-02,RT1,26,41
17558,2024-05-02,RT2,11,18
17558,2024-05-02,RT3,8,17
17558,2024-05-02,RT4,3,6
17559,2024-05-02,RT1,25,44
17559,2024-05-02,RT2,14,25
17559,2024-05-02,RT3,6,11
17559,2024-05-02,RT4,2,5
16558,2024-05-03,RT1,23,35
16558,2024-05-03,RT2,20,25
16558,2024-05-03,RT3,13,19
16558,2024-05-03,RT4,4,5
16559,2024-05-03,RT1,33,42
16559,2024-05-03,RT2,25,35
16559,2024-05-03,RT3,7,11
16559,2024-05-03,RT4,4,5
16560,2024-05-03,RT1,32,43
16560,2024-05-03,RT2,14,20
16560,2024-05-03,RT3,16,22
16560,2024-05-03,RT4,4,6
16561,2024-05-03,RT1,22,32
16561,2024-05-03,RT2,19,24
16561,2024-05-03,RT3,13,18
16561,2024-05-03,RT4,5,8
16562,2024-05-03,RT1,31,38
