booking_id,property_id,booking_date,check_in_date,checkout_date,no_guests,room_category,booking_platform,ratings_given,booking_status,revenue_generated,revenue_realized
BK100001,16558,2024-04-22,2024-05-01,2024-05-02,2,RT1,Direct Offline,1,Checked Out,4517.65,4517.65
BK100002,16558,2024-04-23,2024-05-01,2024-05-02,3,RT1,Direct Offline,3,Checked Out,4493.46,4493.46
BK100003,16558,2024-04-25,2024-05-01,2024-05-02,4,RT1,MakeMyTrip,,Cancelled,4314.99,431.5
BK100004,16558,2024-04-29,2024-05-01,2024-05-03,4,RT1,Tripster,4,Checked Out,4382.47,4382.47
BK100005,16558,2024-04-20,2024-05-01,2024-05-03,3,RT1,Booking.com,,Cancelled,4324.86,432.49
BK100006,16558,2024-04-20,2024-05-01,2024-05-03,1,RT1,Booking.com,4,Checked Out,4445.68,4445.68
BK100007,16558,2024-04-25,2024-05-01,2024-05-04,3,RT1,Direct Online,5,Checked Out,4372.52,4372.52
BK100008,16558,2024-04-28,2024-05-01,2024-05-03,1,RT1,MakeMyTrip,1,Checked Out,4528.98,4528.98
BK100009,16558,2024-04-17,2024-05-01,2024-05-03,4,RT1,Tripster,,No Show,4457.1,2228.55
BK100010,16558,2024-04-28,2024-05-01,2024-05-04,1,RT1,MakeMyTrip,5,Checked Out,4654.73,4654.73
BK100011,16558,2024-04-19,2024-05-01,2024-05-03,1,RT1,JourneyHub,4,Checked Out,4304.68,4304.68
BK100012,16558,2024-04-20,2024-05-01,2024-05-02,2,RT1,Logtrip,4,Checked Out,4549.44,4549.44
BK100013,16558,2024-04-22,2024-05-01,2024-05-03,2,RT1,Direct Offline,,Cancelled,4365.39,436.54
BK100014,16558,2024-04-30,2024-05-01,2024-05-04,3,RT1,MakeMyTrip,4,Checked Out,4342.49,4342.49
BK100015,16558,2024-04-26,2024-05-01,2024-05-02,3,RT1,Booking.com,3,Checked Out,4361.63,4361.63
BK100016,16558,2024-04-25,2024-05-01,2024-05-02,1,RT1,Booking.com,5,Checked Out,4466.24,4466.24
BK100017,16558,2024-04-24,2024-05-01,2024-05-04,4,RT1,MakeMyTrip,1,Checked Out,4714.75,4714.75
BK100018,16558,2024-04-23,2024-05-01,2024-05-04,2,RT1,Logtrip,5,Checked Out,4295.01,4295.01
BK100019,16558,2024-04-26,2024-05-01,2024-05-03,3,RT1,Logtrip,5,Checked Out,4515.91,4515.91
BK100020,16558,2024-04-29,2024-05-01,2024-05-02,2,RT1,Direct Offline,3,Checked Out,4455.36,4455.36
BK100021,16558,2024-04-17,2024-05-01,2024-05-04,2,RT1,Logtrip,1,Checked Out,4340.63,4340.63
BK100022,16558,2024-04-22,2024-05-01,2024-05-02,2,RT1,Logtrip,4,Checked Out,4584.26,4584.26
BK100023,16558,2024-04-26,2024-05-01,2024-05-02,4,RT1,Booking.com,3,Checked Out,4525.25,4525.25
BK100024,16558,2024-04-27,2024-05-01,2024-05-02,3,RT1,MakeMyTrip,,Cancelled,4713.37,471.34
BK100025,16558,2024-04-19,2024-05-01,2024-05-02,1,RT1,Tripster,3,Checked Out,4472.44,4472.44
BK100026,16558,2024-04-17,2024-05-01,2024-05-02,1,RT1,Tripster,,No Show,4484.32,2242.16
BK100027,16558,2024-04-23,2024-05-01,2024-05-04,1,RT2,Logtrip,,No Show,7702.53,3851.26
